id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
947768183186382957,Modern Simple Studio | South End,523515799,Sean,Back Bay,42.34376175238195,-71.08199789552447,Entire home/apt,124.0,1,28,1.43,43,233
947785851072519783,Peaceful South End Studio!,523515799,Sean,Back Bay,42.343215714583415,-71.08403995728031,Entire home/apt,133.0,1,31,1.64,43,222
947825716567982665,Lovely South End Studio,523515799,Sean,Back Bay,42.34376,-71.08188,Entire home/apt,118.0,1,44,2.29,43,262
947846318188738138,Peaceful Studio | Close to Fenway,523515799,Sean,Back Bay,42.34211322463612,-71.0835579706857,Entire home/apt,118.0,1,19,1.01,43,225
947863403518702980,Spacious Studio Apt | South End,523515799,Sean,Back Bay,42.34259,-71.08393,Entire home/apt,278.0,1,37,1.89,43,320
947884085061009785,Quaint Studio Apt | Close to Fenway,523515799,Sean,Back Bay,42.3418,-71.08347,Entire home/apt,154.0,1,30,1.56,43,233
948083891346485861,Luxury 2BD/2BA Near Airport 8544,212359760,Mohammed Radi,East Boston,42.3864572857589,-71.00506962968997,Entire home/apt,189.0,1,65,3.37,165,319
948523625428103861,Lux 1BR w/ Amenities Seaport,20857768,Compass,South Boston Waterfront,42.35357005019778,-71.04748256441803,Entire home/apt,300.0,29,0,0.0,16,178
949154671772958720,Lux 1 BR w/ Amenities Back Bay,20857768,Compass,Back Bay,42.3459685,-71.0847361,Entire home/apt,200.0,29,1,0.09,16,268
949250584233351802,Studio Room at Hotel Boston,518080572,Anwar,Brighton,42.3417319,-71.1431193,Private room,178.0,1,76,3.87,3,237
950079027718724538,Modern Apt head of the Charles,163848078,Adam,Brighton,42.35899,-71.14921,Entire home/apt,496.0,29,0,0.0,73,269
950250466870034563,"Roslindale Room near MBTA, self check-in",201935605,Sherwin,Roslindale,42.29276687560215,-71.12202441282217,Private room,36.0,29,10,0.54,8,0
950573469793079349,Hidden Gem in Port Norfolk,147376476,Ronald,Dorchester,42.286338056398,-71.04252835224409,Entire home/apt,219.0,3,21,2.1,1,241
950604189578172753,"Boston 1 bedroom, 7 minutes to T",151248865,Yao,Dorchester,42.32112909775597,-71.05927640084631,Entire home/apt,100.0,30,0,0.0,8,334
