id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
826915410213840891,Welcome to the Aqua Room,492758013,Viviane,,Roslindale,42.28793,-71.13991,Private room,107,1,10,2024-09-29,0.40,3,360,2,STR-546206
826990034800976237,Welcome to The Lavender Room,492758013,Viviane,,Roslindale,42.28793,-71.13992,Private room,107,1,4,2024-09-01,0.16,3,360,1,STR-546206
827002804846503204,Private Bedroom #4 in Shared Condo,494658101,Patrick,,Dorchester,42.28544,-71.0721,Private room,67,29,0,,,3,53,0,
827013427283941098,Private Bedroom #5 in Shared Condo,494658101,Patrick,,Dorchester,42.2837,-71.07307,Private room,55,29,0,,,3,53,0,
827763943278645414,A Sweet Place (B) managed by Andrea,24532370,Andrea,,Mattapan,42.2778739,-71.0824847,Private room,,30,5,2025-02-26,0.22,4,185,1,STR-521861
827763949654508571,An Even Sweeter Place managed by Andrea,24532370,Andrea,,Mattapan,42.27865667330715,-71.08178761407363,Entire home/apt,60,30,2,2024-08-16,0.10,4,0,1,STR-524303
828014040320230036,"Blueground | Financial District, gym, nr greenway",107434423,Blueground,,Chinatown,42.3522851,-71.05910879999999,Entire home/apt,239,32,1,2023-05-11,0.04,385,289,0,
828194448965037333,Financial District Charm | Walk anywhere!,275849638,Sean,,Downtown,42.35730177094459,-71.05326282459265,Entire home/apt,221,1,84,2025-02-08,3.52,70,246,41,STR-461939
828386525464240771,Beautiful Newbury St. 1Br,275849638,Sean,,Back Bay,42.3486,-71.08625,Entire home/apt,180,1,61,2025-03-12,3.77,70,204,51,STR-520909
828414752318279232,Monthly Newbury Street Gem,275849638,Sean,,Back Bay,42.35106434619906,-71.0819839547802,Entire home/apt,148,11,72,2024-12-18,2.99,70,221,40,STR-520911
828416110846192220,Centrally Located Back Bay 1Br!,275849638,Sean,,Back Bay,42.34819947769173,-71.08644007542718,Entire home/apt,182,1,69,2025-02-18,2.92,70,250,36,STR-520912
828424408884495054,Wonderful Newbury 1 Bedroom!,275849638,Sean,,Back Bay,42.34870643018961,-71.08644605772977,Entire home/apt,171,1,50,2024-12-31,2.01,70,254,31,STR-520914
828431379798940279,Stunning Back Bay | 1Br / 1Bth,275849638,Sean,,Back Bay,42.34844,-71.08605,Entire home/apt,181,1,86,2025-03-11,3.48,70,250,49,STR-520913
828888465289215959,Private cozy bedroom in Boston.,474189195,Patrice,,Dorchester,42.30271148580186,-71.06850565262005,Private room,59,30,2,2023-05-14,0.08,4,363,0,
829776703962057224,Stunning and Stylish Home tucked on Cul De Sac,100307715,Juli,,West Roxbury,42.25824,-71.15987,Entire home/apt,305,91,0,,,1,365,0,
830645573843180576,Cozy New Built 1-BR Apt (9W1) Near Downtown Boston,31070527,Daryl,,Dorchester,42.2958734,-71.08054650000001,Entire home/apt,129,1,115,2025-02-23,4.62,7,342,69,STR-491593
831005655020855662,Studio in Heart of Beacon Hill (Downtown Boston),3634393,Justin,,Beacon Hill,42.359362,-71.0682975,Entire home/apt,109,29,2,2024-11-17,0.38,2,335,2,STR-589859
831012935165221418,Charming Beacon Hill 1bd in Brownstone,3634393,Justin,,Beacon Hill,42.359362,-71.0682975,Entire home/apt,153,29,2,2024-09-30,0.09,2,335,1,
831051071190439900,Convenient & cozy 2BD in JP - 1 mile to hospitals,13608358,April,,Jamaica Plain,42.32289973146069,-71.11363270178217,Entire home/apt,118,29,7,2025-01-07,0.35,1,130,3,
831097348583700730,Cozy 1B1B in the heart of JP,119050270,Alexis,,Jamaica Plain,42.3117713,-71.11527120000001,Entire home/apt,113,1,66,2025-02-23,2.74,1,201,54,STR-561503
831476534718840596,24-Renovated 2 bedroom only 8 min from the city,2134782,Shlomi,,Allston,42.35647,-71.13576,Entire home/apt,198,2,13,2024-12-30,0.53,2,126,2,STR-522067
831735030713466807,"Blueground | Brighton, pool & gym, nr green line",107434423,Blueground,,Brighton,42.34777380000001,-71.1460998,Entire home/apt,,32,0,,,385,1,0,
831837934769463043,Beautiful Mission Hill 1Br/Ba!,275849638,Sean,,Mission Hill,42.33287,-71.09857,Entire home/apt,135,1,4,2023-10-21,0.19,70,250,0,STR-521770
